,short_description
451,देश लगातार रह रूस प्रभाव पड़ोस देश घट रुतब के बीचचीन बढ़ रह रूस नज़दीक बदल हालात भारत-रूस संबंध क्य होग असर 
452,ख़त्म पहाड़ चल पहाड़ समंदर के पार अंततः सबक रुल 
453,साहित्यकार आनंद स्वरूप वर्म बीबीस बत मंगलेश डबराल दिल्ल के एम्स अस्पताल बुधवार देर शाम आख़िर सांस ली 
454,पाकिस्तान के कराच दुकान जिनक नाम भारत के शहर देख ख़ास रिपोर्ट 
455,बिहार के मुख्यमंत्र नीतीश कुमार एपीएमस एक्ट बिहार ख़त्म ज़िक्र दाव इसस किसान हालत सुधार 
456,नीत आयोग के सीईओ अमिताभ कांत कह भारत ज़्याद लोकतंत्र उनक बयान ले विवाद खड़ गय 
457,9 दिसंबर सोनिय गांध जन्मदिन ट्विटर सोशल मीडिय उनक काफ़ चर्च रह पढ़ विशेष लेख 
458,सवाल उठ रह बरेल हिंद अभिुयुक्त के ख़िलाफ़ नह किय गय जबक मुरादाबाद मुस्लिम अभियुक्त फ़ौरन जेल भेज दिय गय 
459,एमएसप सुनिश्चित के किसान सड़क उसस महज़ छह फ़ीसद किसान फ़ायद 
460,दिल्ल सीम डट किसान लोग ऐस शारीरिक रूप सक्षम न के बावजूद प्रदर्शन हिस्स ले रह 
461,केवल 6 फ़ीसद किसान एमसएसप दर अप उपज बेच पा पंजाब वाल 85 प्रतिशत गेहूँ-चावल हरियाण के क़रीब 75 प्रतिशत गेहूँ-चावल एमएसप ख़रीद 
462,अमित शाह किसान के मंगलवार रात बातचीत के सरकार बुधवार किसान लिखित प्रस्ताव भेज किसान ख़ारिज दिय 
463,किसान प्रेस कॉन्फ्रेंस घोषण 13 किसान गृह मंत्र अमित शाह मिल 
464,प्रधानमंत्र मोद बुर प्रभावित राज्य कह वो टेस्टिंग कॉन्टैक्ट ट्रेसिंग शीर्ष प्राथमिक दें 
465,भारत तीन मैच के टी-20 सिरीज़ पहल अप नाम लिय 
466,राज्य एमएसप सीध सरोकार नह दिल्ल किसान के विरोध प्रदर्शन राज्य के किसान क्य कह 
467,ख़बर केंद्रीय गृहमंत्र अमित शाह किसान मुलाक़ात के बुल 
468,कनाड के शहर ब्रैम्पटन पंजाब समुदाय के लोग ओर दिल्ल धर बैठ किसान के समर्थन रैल निकाल 
469,भारत के हमेश चिं रह चीन के कारोबार रिश् घाट वो जम फ़ायद उठ 
470,ब्रिटेन के 36 सांसद भारत रह किसान के प्रदर्शन ले ब्रिता विदेश मंत्र चिट्ठ लिख 
471,अर्थशास्त्र मशहूर लेखक गुरचरण सिंह नए कृष क़ानून के समर्थक उन्ह लग सरकार सुधार ठीक बेच नह पाई 
472,मोद सरकार के कृष क़ानून के ख़िलाफ़ आंदोलनाकर किसान के भारत देश के राजनीतिक दल व्यापक समर्थन मिल 
475,बुधवार किसान केंद्र सरकार के वाल बैठक स्थगित सरकार कह पहल भेज लिखित प्रस्ताव 
477,किसान आंदोलन शामिल किसान संगठन हर रोज़ रिव्य मीटिंग के आपस अप समन्वय मज़बूत 
478,किसान के समर्थन हस्त अवार्ड वापस कार्टून 
479,10 दिसंबर प्रधानमंत्र नरेंद्र मोद संसद नई इमारत शिलान्यास वाल कोर्ट याचिकाएँ दायर 
480,बीबीस ख़ास बातचीत जम्मू-कश्मीर पूर्व मुख्यमंत्र महबूब मुफ़् डीडीस चुनाव ले अनुच्छेद 370 अप बात रख 
481,आंध्र प्रदेश के इलुर शहर अचानक लोग जी मचल बेहोश बीमार पड़ ख़बर आ रह 
482,21 साल के भरत जाधव कथित ऊंच जात के आदम सिर्फ़ इसल पीट क्योंक उनक सरनेम कथित ऊंच जात वाल सरनेम जैस 
483,साल 15 जून प्रसारित अप टीव शो अमीश देवगन सूफ़ संत के बार कथित अपमानजनक बात कह थीं 
484,पश्चिम उत्तर प्रदेश के किसान दिल्ल सीम नए कृष क़ानून के ख़िलाफ़ चल रह प्रदर्शन हिस्स ले पहुंच रह 
485,केंद्र सरकार किसान के पाँच दौर बातचीत चुक हल नह आख़िर सरकार किसान मांग ले हद गंभीर 
486,देश-दुनिय ख़बर उनक सटीक विश्लेषण के बीबीस हिंद के लाइव पेज बन रह 
487,सवाल उठ रह क्य आरबीआई भारतीय बैंकिंग सेक्टर निगरा पर्याप्त रूप सक्षम नह 
488,डॉ भीमराव आंबेड इंटरव्य कह महात्म गांध सिर्फ इतिहास हिस्स युग निर्माण वाल नह 
489,देश के राज्य के किसान दिल्ल अलग-अलग सीम जुट हालांक बुराड़ सीम चंद किसान प्रदर्शन रह 
490,ऑस्ट्रेलिय 195 रन टारगेट दिय सिरीज़ भारत 2-0 आग गय जीत के सिरीज़ भारत जीत ली आखिर मुक़ाबल सिड 8 दिसंबर खेल जाएग 
491,गूगल आरोप लग रह वो भारतीय बाज़ार अप प्रभुत्व दुरुपयोग रह जानकार के मुताबिक इसस भारतीय इंटरनेट उद्योग गंभीर असर पड़ सक 
492,पंजाब बड़ संख्य किसान दिल्ल के बॉर्डर जुट इनम महिल किशोर-बच्च 
493,सिंगर एक्टर दिलजीत दोसांझ दिल्ली-हरियाण सीम किसान के पहुंच वो शनिवार सिंघ बॉर्डर किसान के प्रदर्शन शामिल 
494,दिन भारत राष्ट्रीय राजधा दिल्ल के बॉर्डर बड़ संख्य किसान नए कानून विरोध जुट 
495,संसद भवन नई बिल्डिंग भूम पूजन 10 दिसंबर वाल लोकसभ अध्यक्ष ओम बिड़ल पुष्ट प्रधानमंत्र नरेंद्र मोद इसक भूम पूजन 
496,कमल हैरिस सार्वजनिक तौर किसान आंदोलन के समर्थन नह कह उनक नाम कैस आय 
497,1955 डॉक्टर आंबेड बीबीस के महात्म गांध के अप संबंध बात आंबेड पुण्यतिथ विशेष 
498,दिल्ल के सिंघ बॉर्डर जार किसान के प्रदर्शन जगह अलग-अलग नाम दिए 
499,पाकिस्तान छप वाल उर्द अख़बार बी सप्ताह कुलभूषण जाधव मामल छाय रह पढ़ अख़बार क्या-क्य छप 
500,दिल्ल के विज्ञान भवन सरकार किसान के के शनिवार बातचीत तय दोन पक्ष के अगल दौर बातचीत 9 दिसंबर होग 
501,साल पहल तमिलनाड के किसान दिल्ल के जंतर-मंतर विरोध-प्रदर्शन के इकट्ठ 
502,हरियाण के गृह मंत्र अनिज विज को-वैक्सीन ले के कैस कोरो पॉज़ीटिव 
503,भारत आंदोलन रह किसान के समर्थन कनाड के प्रधानमंत्र जस्टिन ट्रूड बार बयान दिय प्रेस कॉन्फ्रेंस उनस भारत संबंध ले सवाल किय गय 
504,अर्थशास्त्र लेखक गुरचरण दास कृष क्षेत्र सुधार के बड़ पैरोकार मोद सरकार द्वार लाग किय तीन नए कृष क़ानून काफ़ हद सह मान 
505,मोद सरकार दिय पीछ हट के संकेत आक्रामक किसान संगठन 
506,सुप्रीम कोर्ट महिल के समूह याचिक दायर करक मुसलमान समुदाय अधिक शाद चुनौ दी पढ़ के अख़बार प्रमुख सुर्ख़ 
507,7 करोड़ ग्लोबल टीचर प्राइज़ जीत आध पुरस्कार राश बांट वाल शिक्षक 
509,पहल टी-20 मैच 44 रन पार खेल के कनकशन नियम के टीम बैठ वाल जडेज बाक़ बच टी-20 मैच 
510,भारत ऑस्ट्रेलिय टी20 मैच युज़वेंद्र चहल टीम हिस्स ना मैन ऑफ़ द मैच कैस बन जान मैच पूर रोमांच वीडिय 
511,प्रधानमंत्र नरेंद्र मोद मन बात महाराष्ट्र के किसान बात पढ़ किसान मन बात जान नए कृष क़ानून क्य उनक राय उनक इसस सिर्फ़ फ़ायद नुक़सान 
512,भारत ऑस्ट्रेलिय के साम जीत के 162 रन लक्ष्य रख ऑस्ट्रेलिय टीम सिर्फ़ 150 रन बन सक 
513,किसान बी दस दिन दिल्ल सीम तीन नए कृष क़ानून के ख़िलाफ़ लाख संख्य डट उनक घर महिल दिल्ल कूच तैयार 
514,रोहतक ज़िल मुख्यालय भिवा रोड आठ किलोमीटर मुख्यमंत्र मनोहर लाल खट्टर के गांव अप समस्य किसान के मुद्द ख़ामोश नह 
515,पाकिस्ता ख़ुफ़िय एजेंस आईएसआई के पूर्व प्रमुख लेफ्टिनेंट जनरल रिटायर्ड असद दुर्रा कह पाकिस्तान भारत ख़तर नह 
516,कैस कराच वो हमल जिसक याद नौसे दिवस मन नेव डे विशेष 
517,गोव बी प्रदर्शन रह स्थानीय लोग डर प्राकृतिक सुंदर के मशहूर गोव कोयल के ढेर बदल सक 
518,कश्मीर पुरा परंपर बच के आग आई नई पीढ़ 
519,औरत चुपचाप सब नह देख वो बदलाव हिस्स बन वो कभ शांत प्रदर्शनकार कभ सरकार लोह ले पुलिस लाठ मुक़ाबल 
520,रणजीत सिंह डिसल पुरस्कार जीत घोषण दी वो इसक आध राश बाक़ शिक्षक के बांट 
521,फ़िल्म सिट उत्तर प्रदेश आ जाएग क्य होग क्य हीरो-हिरोइन यूप आएंग 
522,रजनीकांत साल 2017 अप राजनीतिक पार्ट बन बात रह अप पार्ट बन घोषण दी 
523,नए कृष क़ानून आरएसएस जुड़ संगठन सुधार चाह भारतीय किसान संघ स्वदेश जागरण मंच मान नए कृष क़ानून जिन्ह दुरुस्त किय चाह 
524,कभ दिल्ल गल तांग चल वाल महाशय धर्मपाल गुलाट एमडीएच कंप 1500 करोड़ रूपए साम्राज्य खड़ किय 
525,कोरो वैक्सीन इस्तेमाल मंज़ूर देनेवाल दुनिय पहल देश बन ब्रिटेनफ़ाइज़र बायोनटेक वैक्सीन अगल हफ़् ब्रिटेन लोग लग जाएग 
526,पाकिस्तान तमिल समुदाय बंटवार के वक़्त तमिलनाड कराच बस गय 
527,अरब ज़्याद आबाद वाल देश हर वैक्सीन मिल पाएग नह सवाल टीकाकरण अभियान आन वाल चुनौत ले चिं जत रह 
528,कृष क़ानून ले किसान के विरोध कार्टून 
529,कोरो महामार के ब्रेस्ट कैंसर इलाज प्रभावित लाख लोग ज़रूर स्क्रीनिंग छोड़ 
530,ब्रिता किल महफ़ूज़ टीप सुल्तान याद 
531,साल 2008 मुंबई भयावह हमल मुकदम पाकिस्तान 12 साल चल रह जान क्य केस हालत 
535,भारत इस्लामिक देश के संगठन ऑर्गेनाइजेशन ऑफ़ इस्लामिक कोऑपरेशन ओआईस के सदस्य देश के विदेश मंत्र बैठक पास प्रस्ताव ख़ारिज दिय 
538,शीतल आमट पहल सोशल मीडिय सेव समित के प्रबंधन सवाल उठ जिसक आमट परिवार बयान जार किय 
541,वैक्सीन बन दे बात भारत उसक बड़ पावरहाउस भारत के साम चुनौत 
543,डोभाल के दौर श्रीलंक मालदीव के शनिवार मैरीटाइम सुरक्ष ले सहमत बन अख़बार समीक्ष 
545,कृष मंत्रालय के सचिव संजय अग्रवाल पत्र जार किसान यूनियन के भारत सरकार के मंत्र उच्चस्तरीय समित बातचीत के नई दिल्ल स्थित विज्ञान भवन बुल 
546,गुर परब के अवसर नज़र गुर नानक के जीवन अहम बात नानक 11 साल उम्र विद्रोह बन 
547,केंद्र के नए कृष क़ानून के ख़िलाफ़ किसान के जार प्रदर्शन के केंद्रीय गृह मंत्र अमित शाह रविवार कह क़ानून किसान के कल्याण के किसान के प्रदर्शन गैर राजनीतिक बत 
548,390 रन के लक्ष्य पीछ उतर भारतीय टीम तरफ कोहल राहुल अर्धशतकीय पार खेल टीम हार बच नह सक 
549,पाकिस्तान के संयुक्त अरब अमीरात सऊद अरब दोन बेहद मज़बूत रिश् मज़बूत हालिय महीन तालमेल गड़बड़ दिख 
550,मोद कह नए कृष क़ानून के ज़र किसान नए अधिकार मिल अधिकार किसान समस्य शुर दिय 
554,कोरो वैक्सीन तैयार सभ पहुंच सरकार के बड़ चुनौ बन सक 
555,जनरल नरवण कह पाकिस्तान सर्द के मौसम नियंत्रण रेख के पास आतंक भेज बेतहाश कोशिश रह के अख़बार सुर्ख 
556,नाइजीरिय के राष्ट्रपत हमल ‘पागलपन’ करार दिय मीडिय रिपोर्ट्स के अनुसार हमलावर धान के खेत काम रह खेतिहर मज़दूर बांध उनक गल काट दिय 
559,दिल्ल के सिंघ बॉर्डर किसान के प्रदर्शन आठ विपक्ष पार्ट किसान संगठन समर्थन मिल बड़ संख्य यूनिवर्सिट छात्र पहुँच 
566,किसान के विरोध प्रदर्शन ले कोरो महामार के हाल देश-दुनिय सभ ज़रूर ख़बर ताज़ अपडेट आपक मिल बीबीस हिंद लाइव पन् 24 घंट उपलब्ध 
568,पंजाब हरियाण पश्चिम उत्तर प्रदेश के किसान नए कृष क़ानून सबस अधिक विरोध रह लाख संख्य दिल्ल आ केंद्र मोद सरकार किसान के प्रतिनिध तीन दिसंबर बातचीत के बुल 
569,जम्म कश्मीर ज़िल विकास परिषद डीडीस के चुनाव पहल चरण के शनिवार वोट डाल 
570,इसस पहल तिमाह गिरावट 249 फीसद उसक मुक़ाबल हालत अच्छ चिंताजनक चिंताजनक उम्मीद भर 
571,ची वैज्ञानिक दाव कोरो वायरस जानवर गंद पा के ज़र इंसान पहुँच के अख़बार सुर्ख 
573,पीएम नरेंद्र मोद वैक्सीन बन रह देश तीन कंपन दौर वैक्सीन बन के काम रह प्रगत जायज लेंग 
574,ऑस्ट्रेलिय के हाथ भारत मिल करार हार अधिक चर्च बात ले क्य भारत के कप्तान विराट कोहल उप-कप्तान रोहित शर्म के आपस संबंध तनात 
576,नए अमेरिक प्रशासन चीन नीत के अंदाज़ होग उसक भारत कित महत्वपूर्ण होग 
577,पिछल तिमाह जीडीप लगभग 24 फ़ीसद भार गिरावट दर्ज 
579,ऑस्ट्रेलिय 50 ओवर छह विकेट के नुक़सान 374 रन विशाल स्कोर खड़ किय 
580,आरबीआई के आंतरिक कार्य समूह औद्योगिक घरान बैंक लाइसेंस दे सिफ़ारिश 
581,विराट कोहल रोहित शर्म के ऑस्ट्रेलिय मौजूद ना बयान दिय 
582,बॉम्ब हाई कोर्ट कह कार्रव दुर्भाव प्रेरित अभिनेत्र नुक़सान पहुँच के 
583,प्रधानमंत्र नरेंद्र मोद चाह लोकसभ राज्य विधानसभ के चुनाव आख़िर ऐस क्य 
584,भारत-चीन सीम नह बन बात स्टेन स्वाम कह माओवाद नह के अख़बार सुर्ख 
585,टीम इंडिय नौ मही अंतरराष्ट्रीय मैच खेल रह सिड भारत ऑस्ट्रेलिय वन डे मैच खेल 
586,केंद्र सरकार के तीन कृष क़ानून के विरोध किसान संगठन गुरुवार ‘दिल्ल चलो’ मार्च आह्वान किय 
588,भारत के विदेश सचिव के लौट के ठीक दिन चीन के रक्ष मंत्र नेपाल पहुंच 
589,नए कृष क़ानून के विरोध किसान पंजाब दिल्ल कूच रह कृष मंत्र क्य प्रतिक्रिय दी 
590,उत्तर प्रदेश योग आदित्यनाथ सरकार अंतर-धार्मिक विवाह के ख़िलाफ़ अध्यादेश मंज़ूर दे दी 
591,संविधान दिवस कार्टून 
592,2012 के दिल्ल गैंग रेप निर्भय मामल के बलात्कार ले सख़्त क़ानून बन कड़ सज़ प्रावधान किय गय क्य इसक असर रह 
593,महिल आज़ाद पार्टनर चुन ले दिल्ल हाई कोर्ट कह महत्वपूर्ण बात के अख़बार सुर्ख 
594,बीबीस हिंद के लाइव पन् आपक मिल दिनभर सभ बड़ खबर हर अपडेट के बन रह हमार 
598,भारत 12 हज़ार किलोमीटर न्यूज़ीलैंड संसद भारतीय मूल के गौरव शर्म संस्कृत शपथ ली 
599,जह चाह राह वाल कहावत सु होग भोपाल किशोर चरितार्थ दिख 
600,आसियान देश के मुक्त व्यापार समझौ आरसीईप रीजनल कॉम्प्रिहेंसिव इकोनॉमिक पार्टनरशिप विश्व सबस बड़ व्यापार समझौ कह रह 
601,मौसम विभाग कह अगल तीन घंट हव रफ़्तार 100-110 किलोमीटर प्रत घंट घट 65-75 किलोमीटर प्रंत घंट जाएग इसक बावजूद ख़तर अभ टल नह 
604,अहमद पटेल के बार कह सोनिय गांध मान थीं वो एकमात्र अमित शाह पूर बीजेप बराबर सक्षम 
606,देश दुनिय बन रह कोरो के अलग-अलग वैक्सीन ले हर रोज़ नए दाव साम आ रह इनम भारत के सी वैक्सीन सबस सह क्य भारत सरकार क़रार किय जान रिपोर्ट 
608,भारत व्यापार समझौ शामिल न फ़ैसल किय समझौ जापान दक्षिण कोरिय चीन ले आय जिनक पुर वक़्त तनाव रह 
612,उदारवाद छव वाल देश के बड़ इस्लामिक स्कॉलर कल्ब सादिक़ लंब बीमार चल रह मही 17 तारीख़ उन्ह लखनऊ के अस्पताल भर् गय जह उन्ह वेंटीलेटर सपोर्ट रख गय 
613,कोरो महामार के तेजस रद्द के फ़ैसल भारतीय रेल के निजीकरण के सप जोड़ देख रह 
614,पिछल दिन अचानक कोरो संक्रमण के मामल इज़ाफ़ देख रह 
616,देश के पूर्व उप-राष्ट्रपत हामिद अंसार के बयान दक्षिणपंथ रुझान रख वाल थोड़ नाराज़ग 
618,कांग्रेस के वरिष्ठ गुलाम नब आज़ाद अप पार्ट के प्रदर्शन टिप्पण 
619,सीम सुरक्ष बल जम्म कश्मीर पुलिस के संयुक्त अभियान खोज गय 
620,वरिष्ठ कांग्रेस कांग्रेस लीडर ग़ुलाम नब आज़ाद बिहार चुनाव पार्ट के ख़राब प्रदर्शन कह चुनाव फ़ाइव स्टार कल्चर नह जी 
622,पुलिस के डीजीप बत इसक इस्तेमाल भारत चरमपंथ भेज के किय गय नागरोट गुरुवार मार 
623,अमेरिक रह वाल भारतीय छठ पूज पर्व मन न्य जर्स मनालापन लेक के किनार चार दिन चल वाल छठ पर्व मन गय 
624,तमिलनाड हथि कुंए गिर जल्द बच के लोग पहुंच 
625,अर्नब पहल ऐस व्यक्त नह कवरेज ऐस स्टाइल अपन पहल ज़्याद शोर भर आक्रामक ज़रूर बन दिय 
626,इसक वजह नेटफ़्लिक्स के शो अ सूटेबल बॉय के दृश्य आपत्त जत रह 
627,बिहार विधानसभ के चुनाव पांच सीट जीत के कह रह एआईएमआईएम मुसलमान राष्ट्रीय स्तर पार्ट बन उभर 
630,पाकिस्तान छप वाल उर्द अख़बार हफ़् चीन-पाकिस्तान आर्थिक कॉरिडोर क़ुरैश के बयान इमरान ख़ान के अफ़ग़ानिस्तान दौर विपक्ष महागठबंधन जुड़ ख़बर मिल सबस ज़्याद सुर्ख़ 
631,देश के पूर्व उप-राष्ट्रपत हामिद अंसार के बयान दक्षिणपंथ रुझान रख वाल थोड़ नाराज़ग 
633,छठ पूज पर्व शनिवार सुबह उग सूर्य अर्घ्य दे संपन्न पूज के आखिर दिन घाट श्रद्धाल भीड़ जुट 
634,कमल सिंह बैल डांस सीख ले जुनून सीख के उनक पास पैस नह 
639,छठ पर्व केवल बिहार पूर्व उत्तर प्रदेश सीमित नह रह गय शनिवार सुबह उग सूर्य अर्घ्य दे संपन्न छठ 
640,पाकिस्तान अफ़ग़ानिस्तान के अनबन जित पुरा उत पुरा भारत अफ़ग़ानिस्तान दोस् 
641,बिहार चुनाव पहल बिक 280 करोड़ के इलेक्टोरल बॉन्ड लव जेहाद अध्यादेश लाएग योग सरकार के अख़बार अहम सुर्ख 
642,केंद्रीय स्वास्थ्य मंत्र डॉक्टर हर्षवर्धन उम्मीद जत 2021 के शुरुआ 2-3 महीन वैक्सीन मिल शुर जाय 
644,यूएई पाकिस्तान समेत 12 देश के यात्र वीज़ दे अस्थ रोक लग दी जिसक ऐस अनुमान लग रह दोन देश के सब ठीक नह 
645,वॉ भारत दर्ज बाघ द्वार सबस लंब पैदल-यात्र पूर ली बाघ महाराष्ट्र के ज्ञानगंग अभयारण्य अप घर बन लिय 
646,सलमान राव मई 2020 किय उनक फ़ेसबुक लाइव के सम्मानित किय गय 
647,भारत अप के पहल अध्ययन मिल सकारात्मक संकेत पढ़ क्य ख़ास छप के अख़बार 
648,राष्ट्रीय बाल अधिकार संरक्षण आयोग के सहयोग देश पहल जुवेनाइस पुलिस डिवीज़न त्रिच खोल गय 
649,पाकिस्तान प्रशासित कश्मीर रह वाल लोग ग़ल एलओस पार उनक घरवाल बरस उनक वापस आस लग बैठ 
650,टेस्क सेंसबर मार्क्स एंड स्पेंसर रॉल्फ़ लॉरेन जैस ब्रांड कपड़ सप्ल वाल फ़ैक्ट्र के कर्मचार लग शोषण के आरोप 
651,पश्चिम हिंद महासागर ‘एक्सरसाइज़ मालाबार 2020’ दूसर चरण जार 
652,पाकिस्तान अदालत प्रतिबंधित संगठन जमात-उद-दाव के मुखिय हाफ़िज़ सईद साढ़ 10 साल क़ैद सज़ सुन 
654,म्यांमार NLD नेशनल लीग फॉर डेमोक्रेस सबस बड़ पार्ट बन उभर 
655,एनपीआर राष्ट्रीय नागरिक रजिस्टर एनआरस पूर दिश पहल क़दम मा गय के अख़बार सुर्ख 
656,व्हाइट हाउस नए राष्ट्रपत मौजूदग अमेरिक भारत के रिश्त कैस प्रभावित 
660,भारतीय मंगलवार ऑनलाइन मीडिय रिपोर्ट्स खारिज किय जिनम दाव किय गय चीन पीपल्स लिबरेशन आर्म लद्दाख माइक्रोवेव हथियार इस्तेमाल किय 
661,संयुक्त राष्ट्र भारत कड़ टिप्पण भारत कह संयुक्त राष्ट्र सुरक्ष परिषद ख़राब चुक अंग बन गय 
662,बाघ महाराष्ट्र तेलंग के सात ज़िल 3000 किम यात्र फ़िलहाल मिल गय नय ठिक 
663,कारण मोद सरकार पिछल साल नवंबर द रीजनल कॉम्प्रीहेंसिव इकोनॉमिक पार्टनरशिप आरसीईप वार् एलान किय - वो फ़ैसल सह नह 
664,ईपीएफ़ओ पंजीकृत कंपन संख्य भार गिरावट पढ़ क्य ख़ास छप के अख़बार 
665,डोनाल्ड ट्रंप के दौर अमरीक चीन के रिश् तनावपूर्ण 
666,बेल्जियम के रेसर कबूतर रिकॉर्ड 19 लाख डॉलर बेच गय साल माद कबूतर नाम न्य किम 
667,लक्ष्म विलास बैंक लिमिटेड आर्थिक स्थित लगातार गिरावट बी तीन साल ज़्याद बैंक लगातार घाट रह इसस इसक नेटवर्थ घट 
668,ए प्रोमिस्ड लैंड नाम किताब ओबाम के राजनीतिक जीवन आधारित संस्मरण पहल अंक जिसम करीब 14 सौ शब्द नवंबर 2010 अप पहल भारत यात्र ख़र्च 
669,टिकट बंटवार के लिहाज देख सत् पक्ष के चार घटक दल जेडीय छोड़ पार्ट मुस्लिम उम्मीदवार टिकट नह दिय 
670,चीन के राष्ट्रपत शी जिनपिंग हाल अप अधिकार कह सिचुआन-तिब्बत रेलव प्रोजेक्ट जल्द जल्द पूर 
671,क्य चीन के नेतृत्व वाल आरसीईप समझौ क्षेत्र चीन असर बढ़ भारत पिछल साल दुनिय सबस बड़ ट्रेड डील हाथ खींच लिय 
672,डूब सर्कस उद्योग ऑनलाइन प्लैटफ़ॉर्म्स सहार 
673,ट्रंप मोद मौक़ एक-दूसर अप दोस्त बत चुक 
674,पढ़ क्य ख़ास छप दिल्ल प्रकाशित वाल के अख़बार 
675,ग्वालियर के लोग कह मनीष मिश्र सड़क भीख मांग अप गुज़र बसर रह 
676,प्रधानमंत्र मोद बार जैसलमेर के जवान के दिवाल मन जिसक सोशल मीडिय ख़ूब चर्च रह 
677,चीन समेत एशिया-प्रशांत महासागर क्षेत्र के 15 देश रविवार दुनिय सबस बड़ व्यापार संध वियतनाम के हनोई हस्ताक्षर किय 
678,बिहार तारकिशोर प्रसाद बीजेप विधायक दल चु के चर्च सुशील मोद जगह वो नीतीश कुमार के उपकप्तान रह 
679,पढ़ दिल्ल प्रकाशित वाल अख़बार किन ख़बर दी प्राथमिक 
680,दिन पहल पाकिस्तान के विदेश मंत्र के प्रवक् प्रेस कॉन्फ़्रेंस भारत गंभीर आरोप लगाय भारतीय विदेश मंत्रालय जवाब दिय 
681,चीन समेत एशिया-प्रशांत महासागर क्षेत्र के 15 देश रविवार दुनिय सबस बड़ व्यापार संध हस्ताक्षर किय 
682,नाज़िय नसीम भारतीय टेलीविजन के चर्चित शो बन करोड़पत केबीस के ताज़ सीजन करोड़ रुपय जी इसक वो सीज़न पहल करोड़पत बन 
683,हाल भारत ऑनलाइन न्यूज़ ओटीट प्लेटफॉर्म्स सेंसरशिप लाग फैसल लिय 
684,उनक कदम उनक रिश्तेदार दोस्त मां क्य कह 
687,परिदृश्य बदल रह कवि के गायन के आयाम उभर रह हिन्द छंद-विहीन कवि गायन के नए प्रयोग रह 
688,भारत के विदेश मंत्रालय पाकिस्ता राजदूत बुल पाकिस्ता बल द्वार निर्दोष नागरिक जानबूझ निश बन कड़ शब्द निंद 
690,अमेरिक के नव निर्वाचित राष्ट्रपत बाइडन बार कह उनक पूर्वज कभ ईस्ट इंडिय कपं कप्तान 
691,ऑयल इंडिय कह असम के बाघजान गैस कुंए लग आग पांच मही काब पा लिय गय 
692,राजने कैस मन रोश पर्व 
693,म्यांमार छोड़ के लाख रोहिंग्य जह शरण ली बार वो ख़ुद ख़तर महसूस रह 
694,हर साल तमिलनाड के शिवकाश ज़िल बड़ तादाद पटाख बन साल कोरो महामार वजह छह मही उत्पादन नह पाय 
695,भारत हाल फ़िल्म बन जिसम सस् उड़ान सेव ला वाल कैप्टन जीआर गोपीनाथ के संघर्ष याद किय गय 
700,भारत के सूरत बंदरगाह ईस्ट इंडिय कंप के जहाज़ हेक्टर लंगर डाल गय अनुमान नह लग होग कंप अप देश बीस गु बड़ दुनिय के सबस धन देश उसक लगभग चौथ आबाद सीध तौर शासन वाल 
701,चीन दी बाइडन बध डब्ल्यूएचओ भारत खोल परंपरागत दव वैश्विक केंद्र के अख़बार अहम ख़बर 
702,बाइडन तीन नवंबर अमेरिक राष्ट्रपत चुनाव विजय रह कमल हैरिस उप-राष्ट्रपत चु गय 
703,क्य दिल्ल क्य अयोध्य क्य लंदन क्य कनाड दिवाल के पहल देश-दुनिय के अलग-अलग हिस्स बढ़ ख़ूबसूरत तस्वीर आ रह 
704,इंडिय लव प्रोजेक्ट इंस्टाग्राम सामाजिक बेड़ तोड़ प्यार वाल कहान आवाज़ दे रह 
705,श्रीनगर भारतीय चिनार कॉर्प्स के बयान के अनुसार पाकिस्तान हमल के मोर्टार हथियार इस्तेमाल किय जानबूझ आम नागरिक ठिकान निश बन 
706,स्टैंड अप कॉमेडियन कुणाल कामर कह वो सुप्रीम कोर्ट कथित अवमान वाल ट्वीट्स न माफ़ माँग न अप शब्द वापस लेंग 
707,केंद्र सरकार इंटरनेट फ़िल्म समाचार ऑडियो-विज़ुअल सामग्र दे वाल डिजिटल प्लेटफ़ॉर्म्स सूच प्रसारण मंत्रालय के अंतर्गत ला आदेश जार किय क्य इसक माय 
708,बिहार चुनाव के नतीज घोषण के नीतीश कुमार तेजस्व यादव ख़ामोश अख़्तियार ली दोन नतीज के दिन मीडिय के साम आए 
709,चीन के राष्ट्रपत शी जिनपिंग सिचुआन प्रांत तिब्बत के लिंझ जोड़ वाल रेलव प्रोजेक्ट जल्द पूर निर्देश दिय इसक हिस्स अरूणाचल प्रदेश सीम के काफ़ क़रीब 
710,रिज़र्व बैंक कह इतिहास पहल बार भारत टेक्निकल रिसेशन आ गय वित्तमंत्र आत्मनिर्भर भारत तीसर किस्त एलान किय 
711,दिन भर सभ ज़रूर ख़बर बड़ अपडेट आपक मिल बीबीस लाइव पेज 24 घंट उपलब्ध 
712,पढ़ दिल्ल प्रकाशित वाल प्रमुख अख़बार सुर्ख 
713,दिल्ल समेत उत्तर भारत के इलाक प्रदूषण हव घुल ज़हर क्य सिर्फ़ फ़सल पराल ज़िम्मेदार यासरकार इंतज़ाम नाकाफ़ 
714,धर्मांतरण विरोध क़ानून हरियाण सरकार हिमाचल प्रदेश लाग क़ानून जानकार मांग रह 
715,वित्त मंत्र निर्मल सीतारमण आत्मनिर्भर भारत पैकेज तीसर क़िस्त घोषण 
